% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Aug 11 2017, 18:10
% Table:              Pressure reflected Inlet - p2-Pin
% Time (s)               p2-Pin (Pa), Point: 16
0                        4.1915544272304E-4
3.968253968253968E-5     -281.4657294650898
7.936507936507937E-5     -484.00245901555405
1.1904761904761905E-4    -566.1441362266627
1.5873015873015873E-4    -483.25756706618563
1.984126984126984E-4     -283.4811928449043
2.380952380952381E-4     1.110783120796707
2.777777777777778E-4     281.23693046202976
3.1746031746031746E-4    484.87073041583307
3.5714285714285714E-4    565.0757282080731
3.968253968253968E-4     483.75636886354266
4.365079365079365E-4     283.4885265687112
4.761904761904762E-4     0.5668921524949435
5.158730158730158E-4     -283.5911446425523
5.555555555555556E-4     -485.234909589911
5.952380952380953E-4     -564.0896593533149
6.349206349206349E-4     -488.06387105248484
6.746031746031745E-4     -281.5763055356885
7.142857142857143E-4     -1.6344542979476975
7.53968253968254E-4      280.7474821991087
7.936507936507937E-4     484.3721045715073
8.333333333333333E-4     560.9849220548084
8.73015873015873E-4      489.84263919372233
9.126984126984128E-4     285.63689319233777
9.523809523809524E-4     -7.783637267283976
9.92063492063492E-4      -278.7298420424941
0.0010317460317460316    -487.20410092054016
0.0010714285714285715    -562.3490390677287
0.0011111111111111111    -488.28043794101586
0.0011507936507936507    -272.0387772309235
0.0011904761904761906    -18.8324751685513
0.0012301587301587302    392.2822623894931
0.0012698412698412698    718.840849784486
0.0013095238095238095    817.3201683977583
0.001349206349206349     708.2844097416205
0.001388888888888889     461.7819801712696
0.0014285714285714286    112.6377239397534
0.0014682539682539682    -240.5577350279052
0.001507936507936508     -500.80584355625626
0.0015476190476190477    -657.6342114140402
0.0015873015873015873    -651.8731879557888
0.001626984126984127     -412.4120346126967
0.0016666666666666666    -35.48460296075701
0.0017063492063492064    343.037973416899
0.001746031746031746     595.8964137411456
0.0017857142857142857    693.1711616113917
0.0018253968253968255    660.1114415586326
0.0018650793650793651    433.6573740449252
0.0019047619047619048    62.835047377528824
0.0019444444444444444    -300.92575680431787
0.001984126984126984     -571.7613031559827
0.0020238095238095236    -673.305035812054
0.0020634920634920633    -658.2474700621651
0.0021031746031746033    -431.0470512639737
0.002142857142857143     -50.33732354956942
0.0021825396825396826    313.6097409212116
0.0022222222222222222    578.5826308065213
0.002261904761904762     683.8117857579039
0.0023015873015873015    655.2841570527985
0.002341269841269841     435.13655819548194
0.002380952380952381     59.570996352434136
0.002420634920634921     -310.6400434760252
0.0024603174603174604    -569.6029504741348
0.0025                   -681.2537373596106
0.0025396825396825397    -655.0745176516128
0.0025793650793650793    -429.9104035167592
0.002619047619047619     -57.38619097958764
0.0026587301587301586    312.63556059658924
0.002698412698412698     577.1765404499045
0.0027380952380952383    681.1025612271546
0.002777777777777778     660.3290521533245
0.0028174603174603175    431.7213194730034
0.002857142857142857     56.90679976023389
0.0028968253968253968    -307.22445237664795
0.0029365079365079364    -573.2474748178322
0.002976190476190476     -678.354406429509
0.003015873015873016     -656.0838425325012
0.0030555555555555557    -431.7064269983882
0.0030952380952380953    -54.68683320969225
0.003134920634920635     311.7099738388697
0.0031746031746031746    576.2745778498863
0.0032142857142857142    682.4850574529833
0.003253968253968254     658.0627497421309
0.0032936507936507935    432.9139387773676
0.003333333333333333     57.73288913731253
0.003373015873015873     -310.0398157302063
0.003412698412698413     -570.8893503660374
0.0034523809523809524    -680.6429508077181
0.003492063492063492     -654.7834713925794
0.0035317460317460317    -430.00668155161804
0.0035714285714285713    -55.72625350810855
0.003611111111111111     312.45760396302103
0.003650793650793651     575.7102298768675
0.0036904761904761906    682.9077866596894
0.0037301587301587303    657.9660928578147
0.00376984126984127      434.2281000020913
0.0038095238095238095    57.22783216762907
0.003849206349206349     -308.83079912592507
0.0038888888888888888    -572.0747417104471
0.003928571428571429     -680.5188170419972
0.003968253968253968     -654.7675064378029
