% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Aug 11 2017, 18:26
% Table:              Aceleration Mic 1 - actd.ay
% Time (s)               Local acceleration, z component (m/s^2), Point: 15
0                        2.221333513479376E-11
2.032520325203252E-5     4.949634797488615E-4
4.065040650406504E-5     -0.038615413300594606
6.097560975609756E-5     0.2108327213282305
8.130081300813008E-5     13.632557194938713
1.016260162601626E-4     124.51011281360809
1.2195121951219512E-4    663.962924752339
1.4227642276422764E-4    2271.100750212043
1.6260162601626016E-4    3059.0212773083
1.8292682926829268E-4    -2996.315348770027
2.032520325203252E-4     617.338283729307
2.2357723577235772E-4    -198.19631318972392
2.4390243902439024E-4    4396.117012607539
2.6422764227642276E-4    -28923.332163328407
2.845528455284553E-4     -28746.738598419026
3.048780487804878E-4     -15456.93252302859
3.252032520325203E-4     5084.741489917923
3.4552845528455285E-4    19789.568445954457
3.6585365853658537E-4    34302.876210125905
3.861788617886179E-4     34387.892542840214
4.065040650406504E-4     30263.66580106765
4.268292682926829E-4     13374.188963928844
4.4715447154471545E-4    -2650.657429800496
4.6747967479674797E-4    -21633.318729947336
4.878048780487805E-4     -31704.05264917734
5.08130081300813E-4      -36037.8666877371
5.284552845528455E-4     -28857.56459770495
5.487804878048781E-4     -14578.158392133908
5.691056910569106E-4     5283.1397757220775
5.89430894308943E-4      20071.692361875925
6.097560975609756E-4     35360.39973727576
6.300813008130082E-4     36450.03248986983
6.504065040650406E-4     30940.44420034416
6.707317073170731E-4     13375.088200150605
6.910569105691057E-4     -5305.757577678424
7.113821138211383E-4     -19926.511867378016
7.317073170731707E-4     -31723.39965874813
7.520325203252032E-4     -38188.12772868
7.723577235772358E-4     -27180.23527476015
7.926829268292683E-4     -15886.54538755689
8.130081300813008E-4     4345.589309113648
8.333333333333333E-4     20167.570140564385
8.536585365853659E-4     35060.9135030701
8.739837398373984E-4     31402.845684215477
8.943089430894309E-4     34325.61343715736
9.146341463414634E-4     10391.174841427708
9.349593495934959E-4     -6075.01859744737
9.552845528455285E-4     1868.542568670131
9.75609756097561E-4      -14025.529687402144
9.959349593495934E-4     -32757.836787865446
0.001016260162601626     -40551.85006507926
0.0010365853658536586    -33632.59897411923
0.001056910569105691     -20404.180292810674
0.0010772357723577235    687.862072406589
0.0010975609756097562    25447.035190627255
0.0011178861788617887    42279.12835167754
0.0011382113821138211    43728.2944504068
0.0011585365853658536    38529.85513996765
0.001178861788617886     16554.264486288354
0.0011991869918699188    -6138.054077197845
0.0012195121951219512    -23440.993713396674
0.0012398373983739837    -40277.84461066195
0.0012601626016260164    -42694.331275103505
0.0012804878048780488    -38820.93348950633
0.0013008130081300813    -22054.594432716738
0.0013211382113821138    2460.2831916926325
0.0013414634146341462    26745.52765781337
0.001361788617886179     41033.58668988886
0.0013821138211382114    41934.07588396507
0.0014024390243902438    37004.05646335009
0.0014227642276422765    22346.601840530457
0.001443089430894309     -1676.2965332024523
0.0014634146341463415    -25139.225275198572
0.001483739837398374     -42553.76217317516
0.0015040650406504064    -44924.72234339724
0.001524390243902439     -37295.93874166401
0.0015447154471544715    -21184.86258545464
0.001565040650406504     2240.7944309604936
0.0015853658536585367    24665.65113178759
0.0016056910569105692    40352.50929473092
0.0016260162601626016    43182.06210991973
0.001646341463414634     38683.22599575737
0.0016666666666666666    23630.06585065244
0.0016869918699186992    -2160.4154820607355
0.0017073170731707317    -24938.504404876443
0.0017276422764227642    -42654.76064028508
0.0017479674796747969    -43816.05997728833
0.0017682926829268293    -37699.56468314247
0.0017886178861788618    -22031.786828719567
0.0018089430894308943    1137.2130434935668
0.0018292682926829267    23838.775670560415
0.0018495934959349594    41527.0939161235
