% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Aug 11 2017, 18:26
% Table:              Aceleration Mic 2 - 
% Time (s)               Local acceleration, z component (m/s^2), Point: 14
0                        1.2842585129831878E-13
2.032520325203252E-5     1.3883226608860836E-6
4.065040650406504E-5     1.404906236981698E-4
6.097560975609756E-5     0.01308327269367918
8.130081300813008E-5     -0.370328021378394
1.016260162601626E-4     -5.824364613190042
1.2195121951219512E-4    -32.67037872243276
1.4227642276422764E-4    -125.54680458007698
1.6260162601626016E-4    -544.8850815710019
1.8292682926829268E-4    -2150.367181334016
2.032520325203252E-4     -3866.7181280125415
2.2357723577235772E-4    1260.9155766747535
2.4390243902439024E-4    2231.3067986272495
2.6422764227642276E-4    -3346.8020233311136
2.845528455284553E-4     2892.5948435543096
3.048780487804878E-4     1778.7708459033472
3.252032520325203E-4     -32633.99369346608
3.4552845528455285E-4    -25746.169597140586
3.6585365853658537E-4    -14530.477123346758
3.861788617886179E-4     8426.474430889379
4.065040650406504E-4     20985.624321618205
4.268292682926829E-4     35214.49199153435
4.4715447154471545E-4    33969.84256227386
4.6747967479674797E-4    28546.468629631017
4.878048780487805E-4     11854.709531580542
5.08130081300813E-4      -6487.429889853788
5.284552845528455E-4     -24120.984192491254
5.487804878048781E-4     -32869.47801189912
5.691056910569106E-4     -37587.44802063872
5.89430894308943E-4      -27457.44736626475
6.097560975609756E-4     -13217.821104596307
6.300813008130082E-4     8465.013919592408
6.504065040650406E-4     23846.186965021938
6.707317073170731E-4     31654.615751346675
6.910569105691057E-4     34870.050043287454
7.113821138211383E-4     29729.015954730683
7.317073170731707E-4     10104.332937028066
7.520325203252032E-4     -3897.32350676181
7.723577235772358E-4     -24601.88657915168
7.926829268292683E-4     -32024.173555054913
8.130081300813008E-4     -38045.0115468446
8.333333333333333E-4     -23948.03205315722
8.536585365853659E-4     -13334.082800805754
8.739837398373984E-4     -157.6576954822458
8.943089430894309E-4     44917.51437691157
9.146341463414634E-4     53299.95420352579
9.349593495934959E-4     41130.16699512946
9.552845528455285E-4     16874.285281867276
9.75609756097561E-4      -6517.228092970847
9.959349593495934E-4     -31026.23474714585
0.001016260162601626     -43482.69057383877
0.0010365853658536586    -42487.069517317854
0.001056910569105691     -30732.90595438251
0.0010772357723577235    -12758.397063170245
0.0010975609756097562    10910.060086905984
0.0011178861788617887    27580.078210966312
0.0011382113821138211    39633.00024576361
0.0011585365853658536    42852.90913384628
0.001178861788617886     33516.64993107886
0.0011991869918699188    14052.796348758948
0.0012195121951219512    -10454.650678287497
0.0012398373983739837    -32375.747808361375
0.0012601626016260164    -42329.03759980321
0.0012804878048780488    -42128.68102087665
0.0013008130081300813    -31364.38225804121
0.0013211382113821138    -14695.639910614344
0.0013414634146341462    8984.952138603596
