% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Aug 11 2017, 23:49
% Table:              Ave P Plane Acoustic - P plane ac (aveop3(p2))
% Time (s)               Average Pressure Plane Acoustic (Pa)
0                        2.0779252192963388E-19
2.5974025974025975E-5    -1.7593799514147768E-11
5.194805194805195E-5     -7.675554786749365E-9
7.792207792207793E-5     5.36725736177758E-7
1.038961038961039E-4     -2.4597067199406042E-5
1.2987012987012987E-4    4.5740787996733284E-4
1.5584415584415587E-4    0.004391955962555136
1.8181818181818183E-4    -0.06585524034004138
2.077922077922078E-4     -0.5560275794809992
2.3376623376623377E-4    -1.2691528371995047
2.5974025974025974E-4    -0.38793900111924157
2.8571428571428574E-4    0.21474688966839048
3.1168831168831173E-4    -7.1295215134404835
3.3766233766233767E-4    -9.068644078096176
3.6363636363636367E-4    8.81541832671023
3.896103896103896E-4     -10.871699901991422
4.155844155844156E-4     15.048065083670568
4.415584415584416E-4     -27.149048917423922
4.6753246753246754E-4    113.81633757319538
4.935064935064935E-4     400.3831821657659
5.194805194805195E-4     554.1874002408382
5.454545454545455E-4     489.75641022672187
5.714285714285715E-4     252.89118098462708
5.974025974025975E-4     -101.05016549136347
6.233766233766235E-4     -419.9860811548003
6.493506493506494E-4     -548.1491992657274
6.753246753246753E-4     -502.86493167074633
7.012987012987013E-4     -230.79295424403998
7.272727272727273E-4     82.95863246565388
7.532467532467533E-4     452.80286823275793
7.792207792207792E-4     810.0237772846303
8.051948051948052E-4     819.5036138215859
8.311688311688312E-4     475.8378407139533
8.571428571428572E-4     -63.709258587342674
8.831168831168832E-4     -580.4970408682192
9.090909090909091E-4     -857.5209705526098
9.350649350649351E-4     -754.9044642278046
9.610389610389611E-4     -370.08135110625295
9.87012987012987E-4      165.81947281617667
0.001012987012987013     639.2697231217551
0.001038961038961039     901.6363186638993
0.001064935064935065     839.1950523062648
0.001090909090909091     453.8507591162656
0.0011168831168831168    -108.29561514898491
0.001142857142857143     -609.4902274367726
0.0011688311688311688    -871.5370645468035
0.001194805194805195     -806.7559165903987
0.0012207792207792208    -419.41449971720635
0.001246753246753247     145.6764299641076
0.0012727272727272728    654.7426820493428
0.0012987012987012987    910.3356277038847
0.0013246753246753248    815.9033565682423
0.0013506493506493507    447.4696768482845
0.0013766233766233768    -107.44928840738402
0.0014025974025974027    -627.0531837761307
0.0014285714285714286    -898.3259457163929
0.0014545454545454547    -808.5056929602641
0.0014805194805194806    -429.788817938038
0.0015064935064935067    130.5069543811919
0.0015324675324675326    637.2838534693836
0.0015584415584415584    907.6610665244469
0.0015844155844155845    827.3190338333782
0.0016103896103896104    443.18306814593257
0.0016363636363636365    -120.68255217358865
0.0016623376623376624    -637.5934004168887
0.0016883116883116883    -894.4385118061492
0.0017142857142857144    -811.8153577088227
0.0017402597402597403    -438.5737973943038
0.0017662337662337664    119.11816012851381
0.0017922077922077923    647.7995789001759
0.0018181818181818182    909.577264360829
0.0018441558441558443    821.3654078984275
0.0018701298701298702    438.69450503378295
0.0018961038961038963    -117.30589063096129
0.0019220779220779222    -635.6605500597149
0.001948051948051948     -902.6583233579245
0.001974025974025974     -817.3782108609605
0.002                    -436.81003615083733
0.002025974025974026     120.39167627833804
0.0020519480519480522    638.2036050996948
0.002077922077922078     903.0143890227691
0.002103896103896104     821.9505872835351
0.00212987012987013      440.3845926708907
0.002155844155844156     -121.998843787995
0.002181818181818182     -639.0754514381406
0.002207792207792208     -900.0952377032241
0.0022337662337662337    -813.5184272944298
0.0022597402597402598    -437.6131180937835
0.002285714285714286     119.06206521131908
0.002311688311688312     636.9391254795876
0.0023376623376623377    913.2445384729107
0.0023636363636363638    819.5160786259303
0.00238961038961039      437.41067031089426
0.0024155844155844155    -122.16377335771273
0.0024415584415584416    -634.952565411589
0.0024675324675324677    -904.0026009534869
0.002493506493506494     -818.0956468480895
0.0025194805194805195    -439.5664382439286
0.0025454545454545456    122.04401411686996
0.0025714285714285717    637.9795479828485
0.0025974025974025974    904.936870554916
0.0026233766233766235    822.8277559810034
0.0026493506493506496    438.8104564071232
0.0026753246753246753    -121.19672463999306
0.0027012987012987014    -637.9098895192553
0.0027272727272727275    -900.8751881301268
0.0027532467532467536    -813.730613739025
0.0027792207792207793    -437.3140490050287
0.0028051948051948054    117.92356196890532
0.0028311688311688315    641.622339657825
0.002857142857142857     907.8967232455121
0.0028831168831168832    820.7462668200867
0.0029090909090909093    438.8927945212326
0.002935064935064935     -120.63848549478024
0.002961038961038961     -637.5264147271929
0.0029870129870129872    -899.603793448417
0.0030129870129870133    -816.408943358118
0.003038961038961039     -438.2945644344559
0.003064935064935065     118.68129393002123
0.003090909090909091     638.9792169359451
0.003116883116883117     907.1794154186769
0.003142857142857143     819.2493541180787
0.003168831168831169     438.06386039862053
0.0031948051948051948    -120.99501016934866
0.003220779220779221     -636.8583045437709
0.003246753246753247     -902.3859185273321
0.003272727272727273     -814.2098578418506
0.0032987012987012987    -437.94738414195734
0.003324675324675325     121.05533242853627
0.003350649350649351     637.0231009252149
0.0033766233766233766    908.8799384994397
0.0034025974025974027    819.9153466000204
0.003428571428571429     438.5902248320626
0.003454545454545455     -122.42159902881615
0.0034805194805194806    -637.3170605639461
0.0035064935064935067    -903.0637494140218
0.003532467532467533     -815.61912564644
0.0035584415584415585    -439.11065002803934
0.0035844155844155846    118.21693797708525
0.0036103896103896107    639.4102837386563
0.0036363636363636364    907.5607296824979
0.0036623376623376625    820.236461182602
0.0036883116883116886    437.98417224509683
0.0037142857142857147    -119.99297224050316
