% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Aug 12 2017, 00:01
% Table:              Pressure Liner - (aveop1(p))
% Time (s)               aveop1(p) (Pa)
0                        -1.0306952119775961E-58
2.2988505747126437E-5    1.779645687209318E-34
4.597701149425287E-5     2.3547099630989638E-29
6.896551724137931E-5     4.909758593009994E-21
9.195402298850575E-5     -3.229015384800424E-16
1.1494252873563218E-4    -3.003826751286309E-13
1.3793103448275863E-4    -2.6819419317360788E-11
1.6091954022988506E-4    4.068298014335866E-9
1.839080459770115E-4     -1.4450728595294525E-7
2.0689655172413793E-4    -3.2559755377751025E-7
2.2988505747126436E-4    1.1285902763500973E-4
2.528735632183908E-4     -7.310338580454633E-4
2.7586206896551725E-4    -0.015712929240071654
2.9885057471264366E-4    -0.025629386452290796
3.218390804597701E-4     0.36146641055976775
3.448275862068965E-4     2.232284142640083
3.67816091954023E-4      6.56401968018053
3.9080459770114945E-4    12.319772461416987
4.1379310344827585E-4    13.781211023819573
4.367816091954023E-4     0.6755074375565417
4.597701149425287E-4     -14.99904516432594
4.827586206896552E-4     7.096300046191165
5.057471264367816E-4     4.610571620865917
5.28735632183908E-4      -10.433063155021259
5.517241379310345E-4     3.71771872475656
5.747126436781609E-4     6.928031548719752
5.977011494252873E-4     -36.1360438810826
6.206896551724138E-4     408.3196097975572
6.436781609195402E-4     798.7254301099073
6.666666666666666E-4     850.4403419796199
6.89655172413793E-4      544.1937087020096
7.126436781609196E-4     16.761329047638135
7.35632183908046E-4      -517.1757432846923
7.586206896551724E-4     -828.7217829259413
7.816091954022989E-4     -835.948136304035
8.045977011494253E-4     -495.8543487268384
8.275862068965517E-4     40.88421976552149
8.505747126436781E-4     566.1911429487117
8.735632183908046E-4     903.7957488074392
8.96551724137931E-4      893.2144499714768
9.195402298850574E-4     550.2944597701091
9.42528735632184E-4      -11.870409820409895
9.655172413793104E-4     -558.3239300699896
9.885057471264369E-4     -878.2040439789362
0.0010114942528735632    -866.6783141394624
0.0010344827586206897    -542.6708909816826
0.001057471264367816     5.553933153069752
0.0010804597701149425    580.9628043802641
0.001103448275862069     924.3835043863423
0.0011264367816091953    902.5964302815889
0.0011494252873563218    537.6617865357955
0.0011724137931034483    -30.988386926302482
0.0011954022988505746    -567.1937691956142
0.0012183908045977011    -891.3205050651984
0.0012413793103448277    -884.4388166347373
0.001264367816091954     -568.0292688611102
0.0012873563218390805    2.902954303013052
0.001310344827586207     574.3441063823069
0.0013333333333333333    930.2301359020374
0.0013563218390804598    888.643827046332
0.001379310344827586     525.9142314905496
0.0014022988505747126    -32.04167707077744
0.0014252873563218391    -569.7654241440807
0.0014482758620689654    -893.7532171388692
0.001471264367816092     -901.980749708263
0.0014942528735632185    -570.1046682568804
0.0015172413793103448    -0.18361785483156864
0.0015402298850574713    579.0078851702287
0.0015632183908045978    918.628354164058
0.001586206896551724     883.4243318364877
0.0016091954022988506    522.0993773546837
0.001632183908045977     -27.715472643276073
0.0016551724137931034    -572.1324867866533
0.00167816091954023      -901.1379326228307
0.0017011494252873562    -904.9676462535847
0.0017241379310344827    -567.9263661842874
0.0017471264367816092    -3.9287833416524047
0.0017701149425287355    579.0308888091267
0.001793103448275862     910.8570170492427
0.0018160919540229886    881.6054544102984
0.0018390804597701149    528.0559242922908
0.0018620689655172414    -29.422941645683164
0.001885057471264368     -573.6801596045317
0.0019080459770114942    -904.475895945409
0.0019310344827586207    -900.9979577417647
0.001954022988505747     -565.0581389061092
0.0019770114942528737    -1.3147386780557324
0.002                    570.8599864661638
0.0020229885057471263    912.8286837390971
0.002045977011494253     883.9661636543159
0.0020689655172413794    529.2926405707108
0.0020919540229885057    -28.736808194304544
0.002114942528735632     -582.0758062433625
0.0021379310344827587    -899.9195448828451
0.002160919540229885     -899.9906908060033
0.0021839080459770113    -564.8993807338634
0.002206896551724138     0.8519442324191795
0.0022298850574712643    568.0718619365388
0.0022528735632183906    916.4670138284982
0.0022758620689655173    884.7282578211752
0.0022988505747126436    532.2041346617697
0.00232183908045977      -33.2676364974507
0.0023448275862068967    -576.1842981041216
0.002367816091954023     -903.5411038749182
0.0023908045977011493    -899.2201555962688
0.002413793103448276     -564.9994097791994
0.0024367816091954023    -5.616453676936199
0.0024597701149425286    573.2092940382868
0.0024827586206896553    917.3712999748205
0.0025057471264367816    885.4077574545576
0.002528735632183908     532.3909246519595
0.0025517241379310347    -36.049151917598955
0.002574712643678161     -574.402103961707
0.0025977011494252873    -902.0598826781369
0.002620689655172414     -899.1260621691167
0.0026436781609195403    -565.856493750458
0.0026666666666666666    -6.62464329188756
0.002689655172413793     574.7173973284471
0.0027126436781609196    913.4272415640978
0.002735632183908046     887.8428872563505
0.002758620689655172     524.787873754151
0.002781609195402299     -32.44321060430499
0.0028045977011494252    -577.3813996295056
0.0028275862068965515    -901.7124922348662
0.0028505747126436783    -897.6794291962126
0.0028735632183908046    -569.3262252108
0.002896551724137931     0.12552268719757342
0.0029195402298850576    571.7123649503224
0.002942528735632184     916.052547758689
0.00296551724137931      884.3038172766115
0.002988505747126437     526.4803378803609
0.003011494252873563     -31.611698452600873
0.0030344827586206895    -576.1186224124073
0.0030574712643678162    -900.4204518327552
0.0030804597701149425    -901.1961691047011
0.003103448275862069     -566.4812546865169
0.0031264367816091956    -3.284159570285365
0.003149425287356322     573.1848565855418
0.003172413793103448     916.5354735847659
0.003195402298850575     883.3115740616255
0.003218390804597701     528.0986795372665
0.0032413793103448275    -31.633177616387012
0.003264367816091954     -576.8325088129432
0.0032873563218390805    -900.152774139779
