% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Aug 14 2017, 13:12
% Table:              Pressure incident Inlet - Pin
% Time (s)               Incident pressure (Pa), Point: 16
0                        0
2.9850746268656717E-5    37.174803446018466
5.9701492537313435E-5    60.15009550075458
8.955223880597016E-5     60.150095500754574
1.1940298507462687E-4    37.17480344601844
1.4925373134328358E-4    -2.034132131953284E-14
1.791044776119403E-4     -37.17480344601847
2.08955223880597E-4      -60.150095500754574
2.3880597014925374E-4    -60.15009550075456
2.6865671641791044E-4    -37.17480344601847
2.9850746268656717E-4    4.068264263906568E-14
3.283582089552239E-4     37.17480344601849
3.582089552238806E-4     60.15009550075459
3.8805970149253735E-4    60.150095500754546
4.17910447761194E-4      37.17480344601847
4.4776119402985075E-4    -8.911063170721213E-14
4.776119402985075E-4     -37.17480344601853
5.074626865671642E-4     -60.1500955007546
5.373134328358209E-4     -60.15009550075459
5.671641791044777E-4     -37.17480344601839
5.970149253731343E-4     8.136528527813136E-14
6.268656716417911E-4     37.17480344601852
6.567164179104478E-4     60.1500955007546
6.865671641791045E-4     60.15009550075455
7.164179104477612E-4     37.174803446018394
7.462686567164179E-4     -7.361993884905058E-14
7.761194029850747E-4     -37.17480344601861
8.059701492537314E-4     -60.15009550075463
8.35820895522388E-4      -60.15009550075459
8.656716417910448E-4     -37.17480344601831
8.955223880597015E-4     1.7822126341442426E-13
9.253731343283583E-4     37.1748034460186
9.55223880597015E-4      60.15009550075463
9.850746268656716E-4     60.150095500754595
0.0010149253731343284    37.174803446018316
0.0010447761194029852    -1.704759169853435E-13
0.0010746268656716418    -37.17480344601841
0.0011044776119402985    -60.15009550075463
0.0011343283582089553    -60.150095500754524
0.0011641791044776119    -37.17480344601851
0.0011940298507462687    1.6273057055626272E-13
0.0012238805970149255    37.174803446018586
0.0012537313432835822    60.150095500754624
0.0012835820895522388    60.150095500754524
0.0013134328358208956    37.17480344601833
0.0013432835820895524    -1.5498522412718193E-13
0.001373134328358209     -37.174803446018586
0.0014029850746268657    -60.150095500754624
0.0014328358208955225    -60.15009550075453
0.001462686567164179     -37.17480344601852
0.0014925373134328358    1.4723987769810116E-13
0.0015223880597014926    37.17480344601858
0.0015522388059701494    60.150095500754695
0.001582089552238806     60.15009550075453
0.0016119402985074627    37.17480344601816
0.0016417910447761195    -1.3949453126902037E-13
0.001671641791044776     -37.17480344601839
0.0017014925373134329    -60.15009550075462
0.0017313432835820897    -60.150095500754475
0.0017611940298507462    -37.174803446018345
0.001791044776119403     3.564425268288485E-13
0.0018208955223880598    37.174803446018565
0.0018507462686567166    60.15009550075469
0.0018805970149253731    60.15009550075454
0.00191044776119403      37.174803446018174
0.0019402985074626867    -1.240038384108588E-13
0.0019701492537313433    -37.17480344601837
0.002                    -60.15009550075462
0.002029850746268657     -60.150095500754475
0.0020597014925373136    -37.174803446018004
0.0020895522388059704    3.40951833970687E-13
0.0021194029850746267    37.17480344601855
0.0021492537313432835    60.15009550075454
0.0021791044776119403    60.15009550075454
0.002208955223880597     37.17480344601818
0.002238805970149254     -1.0851314555269727E-13
0.0022686567164179106    -37.17480344601872
0.0022985074626865674    -60.15009550075475
0.0023283582089552238    -60.15009550075462
0.0023582089552238806    -37.17480344601837
0.0023880597014925373    3.2546114111252544E-13
0.002417910447761194     37.17480344601854
0.002447761194029851     60.15009550075468
0.0024776119402985077    60.15009550075441
0.0025074626865671645    37.174803446018196
0.002537313432835821     -9.302245269453571E-14
0.0025671641791044776    -37.17480344601871
0.0025970149253731344    -60.1500955007546
0.002626865671641791     -60.15009550075449
0.002656716417910448     -37.174803446018025
0.0026865671641791047    3.0997044825436386E-13
0.002716417910447761     37.17480344601853
0.002746268656716418     60.150095500754674
0.0027761194029850746    60.15009550075455
0.0028059701492537314    37.17480344601821
0.002835820895522388     -5.26918443814192E-13
0.002865671641791045     -37.1748034460187
0.0028955223880597018    -60.15009550075474
0.002925373134328358     -60.150095500754624
0.002955223880597015     -37.1748034460184
0.0029850746268656717    2.944797553962023E-13
0.0030149253731343285    37.17480344601888
0.0030447761194029852    60.15009550075467
0.003074626865671642     60.150095500754425
0.003104477611940299     37.17480344601786
0.003134328358208955     -6.204106697821262E-14
0.003164179104477612     -37.174803446018686
0.0031940298507462687    -60.15009550075474
0.0032238805970149255    -60.150095500754354
0.0032537313432835823    -37.17480344601841
0.003283582089552239     2.7898906253804074E-13
0.003313432835820896     37.17480344601886
0.003343283582089552     60.150095500754524
0.003373134328358209     60.15009550075456
0.0034029850746268657    37.17480344601823
0.0034328358208955225    -4.959370580978689E-13
0.0034626865671641793    -37.17480344601904
0.003492537313432836     -60.15009550075487
0.0035223880597014924    -60.1500955007545
0.0035522388059701492    -37.17480344601806
0.003582089552238806     7.12885053657697E-13
0.003611940298507463     37.17480344601849
0.0036417910447761196    60.15009550075466
0.0036716417910447764    60.15009550075443
0.003701492537313433     37.17480344601788
0.0037313432835820895    -3.105968126188951E-14
0.0037611940298507463    -37.17480344601866
0.003791044776119403     -60.15009550075472
0.00382089552238806      -60.15009550075437
0.0038507462686567166    -37.17480344601771
0.0038805970149253734    2.480076768217176E-13
0.00391044776119403      37.174803446018835
0.0039402985074626865    60.15009550075451
0.003970149253731343     60.150095500754574
0.004                    37.17480344601826
0.004029850746268657     -4.649556723815457E-13
0.004059701492537314     -37.17480344601901
0.00408955223880597      -60.15009550075486
0.004119402985074627     -60.150095500754226
0.004149253731343284     -37.17480344601808
0.004179104477611941     6.81903667941374E-13
0.0042089552238805976    37.17480344601919
