% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Aug 14 2017, 13:12
% Table:              Aceleration Mic 2 - 
% Time (s)               Local acceleration, z component (m/s^2), Point: 14
0                        2.8808582212705573E-11
2.9850746268656717E-5    4.773606816557088E-4
5.9701492537313435E-5    -0.017225576116588436
8.955223880597016E-5     -0.5677251864805518
1.1940298507462687E-4    -2.831326895403995
1.4925373134328358E-4    -10.168721793353594
1.791044776119403E-4     -69.66848562896982
2.08955223880597E-4      -236.8504167256954
2.3880597014925374E-4    41.63097448149046
2.6865671641791044E-4    62.964798120430835
2.9850746268656717E-4    102.69125275506046
3.283582089552239E-4     -1470.435387370303
3.582089552238806E-4     -1082.3727219182908
3.8805970149253735E-4    -243.46068057869945
4.17910447761194E-4      912.5369610073192
4.4776119402985075E-4    1444.614100703295
4.776119402985075E-4     1615.6149831055045
5.074626865671642E-4     1083.733010772566
5.373134328358209E-4     248.95061880643007
5.671641791044777E-4     -874.6861901789584
5.970149253731343E-4     -1388.471168928498
6.268656716417911E-4     -1534.2148964198998
6.567164179104478E-4     -1059.339640872691
6.865671641791045E-4     -301.9531778948283
7.164179104477612E-4     881.2722919681735
7.462686567164179E-4     1566.8897817140469
7.761194029850747E-4     1593.029448345328
8.059701492537314E-4     1149.8985278085893
8.35820895522388E-4      229.58141048631938
8.656716417910448E-4     -1198.7959354128345
8.955223880597015E-4     -425.8466804349077
9.253731343283583E-4     -1054.605767899438
9.55223880597015E-4      -1225.655914044939
9.850746268656716E-4     -1159.1899778456725
0.0010149253731343284    -277.83065945432514
0.0010447761194029852    848.3531098017531
0.0010746268656716418    1845.8925626424423
0.0011044776119402985    1907.1172634516345
0.0011343283582089553    1429.879756143046
0.0011641791044776119    372.8673603154717
0.0011940298507462687    -856.9562250962995
0.0012238805970149255    -1954.6699359088684
0.0012537313432835822    -2196.1563149730423
0.0012835820895522388    -1700.3378383936274
0.0013134328358208956    -630.883840401709
0.0013432835820895524    611.6037114376862
0.001373134328358209     1713.469806491676
0.0014029850746268657    2069.407679434866
0.0014328358208955225    1633.0489895397855
0.001462686567164179     555.3056146956865
0.0014925373134328358    -567.1712337459392
0.0015223880597014926    -1647.2589558432653
0.0015522388059701494    -2005.3495725580215
0.001582089552238806     -1604.0149258920333
0.0016119402985074627    -483.36717189216876
0.0016417910447761195    623.288671363352
0.001671641791044776     1708.5585146290443
0.0017014925373134329    2034.6720178631408
0.0017313432835820897    1635.0744650732245
0.0017611940298507462    481.3985615789104
0.001791044776119403     -660.5932309591674
0.0018208955223880598    -1681.4916015791819
0.0018507462686567166    -2052.6818306277864
0.0018805970149253731    -1641.7178569089122
0.00191044776119403      -515.2142473993786
0.0019402985074626867    665.2339507541624
0.0019701492537313433    1695.4536441756659
0.002                    2002.010694049008
0.002029850746268657     1667.2168933780463
0.0020597014925373136    522.7056090934029
0.0020895522388059704    -694.2883219297773
0.0021194029850746267    -1660.7550807671073
0.0021492537313432835    -2013.028246094008
0.0021791044776119403    -1640.217252565149
0.002208955223880597     -555.3968731458916
0.002238805970149254     697.7877318570446
0.0022686567164179106    1676.9767020306922
0.0022985074626865674    2010.4943650419082
0.0023283582089552238    1620.2939472468022
0.0023582089552238806    570.0588562209803
0.0023880597014925373    -692.9448501664351
0.002417910447761194     -1686.083116118271
0.002447761194029851     -2006.9225566930056
0.0024776119402985077    -1616.0022007158927
0.0025074626865671645    -570.4213129910088
0.002537313432835821     677.0971459235673
0.0025671641791044776    1711.8237639180693
0.0025970149253731344    2000.4065655530003
0.002626865671641791     1602.4325637458437
0.002656716417910448     568.5764659305087
0.0026865671641791047    -649.7416489040953
0.002716417910447761     -1723.1274089599317
0.002746268656716418     -2011.2562825106845
0.0027761194029850746    -1615.7598043559426
0.0028059701492537314    -550.6839458666375
0.002835820895522388     641.6024017199985
0.002865671641791045     1708.4715436770923
0.0028955223880597018    2029.3522789215808
0.002925373134328358     1599.7621306408264
0.002955223880597015     557.7816676070203
0.0029850746268656717    -649.8774176657857
0.0030149253731343285    -1689.3581177616438
0.0030447761194029852    -2043.8980796912635
0.003074626865671642     -1595.0849363449038
0.003104477611940299     -547.9678364998119
0.003134328358208955     659.5590084241364
0.003164179104477612     1666.4468014629763
0.0031940298507462687    2051.4972035291476
0.0032238805970149255    1601.6164671531005
0.0032537313432835823    557.1331042238448
0.003283582089552239     -676.6074149615483
0.003313432835820896     -1661.4353870693003
