% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Aug 11 2017, 18:13
% Table:              Av vel Plane Acoustic - V plane ac (aveop3(actd.a_inst/(2*pi*f0)))
% Time (s)               Average Velocity Plane Acoustic (m/s^2)
0                        7.929343593069206E-14
3.205128205128205E-5     -2.4362398297139696E-6
6.41025641025641E-5      6.145189002696268E-4
9.615384615384615E-5     -0.031013775605458677
1.282051282051282E-4     0.23796829404777875
1.6025641025641026E-4    10.880115199295059
1.923076923076923E-4     30.220851764944168
2.2435897435897436E-4    -188.94839782782688
2.564102564102564E-4     -1086.1063848519245
2.8846153846153843E-4    -1565.0426431112282
3.205128205128205E-4     1219.6464667837718
3.525641025641026E-4     1364.7379080056699
3.846153846153846E-4     -3380.4644094312353
4.1666666666666664E-4    4611.293231438364
4.487179487179487E-4     -5094.45762265572
4.807692307692308E-4     -21765.810797797938
5.128205128205128E-4     -14033.474236402668
5.448717948717948E-4     -3249.538418247764
5.769230769230769E-4     8918.136702849448
6.08974358974359E-4      16845.0270215369
6.41025641025641E-4      20610.659281642234
6.73076923076923E-4      23287.95132012908
7.051282051282052E-4     11959.720569700245
7.371794871794872E-4     6165.9212068125635
7.692307692307692E-4     8643.189617679338
8.012820512820513E-4     -11945.44369749069
8.333333333333333E-4     -25152.792181703484
8.653846153846154E-4     -27715.408778819135
8.974358974358974E-4     -22822.73113678107
9.294871794871795E-4     -10368.70073398144
9.615384615384616E-4     3854.114373380671
9.935897435897436E-4     14536.196677920885
0.0010256410256410256    23792.623867623905
0.0010576923076923077    20503.285746378155
0.0010897435897435897    20588.005315437393
0.0011217948717948717    13960.074118618373
0.0011538461538461537    -560.8573565553969
0.001185897435897436     -14529.911218597526
0.001217948717948718     -25278.05449342579
0.00125                  -25487.300673905756
0.001282051282051282     -19714.326455261224
0.001314102564102564     -12033.428404168468
0.001346153846153846     2128.8413373079857
0.0013782051282051281    14709.119210065672
0.0014102564102564104    23463.15794379682
0.0014423076923076924    22398.516513239167
0.0014743589743589744    20897.235838056527
0.0015064102564102564    12073.85226314369
0.0015384615384615385    -1371.7436655454014
0.0015705128205128205    -14194.156637135524
0.0016025641025641025    -25006.9944737969
0.0016346153846153845    -23865.186790778476
0.0016666666666666666    -20074.62576266057
0.0016987179487179488    -11381.158092411724
0.0017307692307692308    1158.0551453146747
0.0017628205128205128    14365.408974691487
0.0017948717948717949    24262.86705317209
0.001826923076923077     23254.710334256608
0.001858974358974359     19923.42514811275
0.001891025641025641     12614.198439618283
0.0019230769230769232    -1478.1512650097054
0.001955128205128205     -14669.06753989689
0.0019871794871794872    -24467.87472114313
0.0020192307692307693    -23785.51040141348
0.0020512820512820513    -19687.226652763817
0.0020833333333333333    -11850.611343746714
0.0021153846153846153    1232.0708346903969
0.0021474358974358974    14650.823212329216
0.0021794871794871794    23813.91072170021
0.0022115384615384614    23720.896774249322
0.0022435897435897434    20077.117116080964
0.0022756410256410254    11921.773576216814
0.0023076923076923075    -1147.9632794842184
0.00233974358974359      -14592.824552330103
0.002371794871794872     -24370.712897445595
0.002403846153846154     -23900.98048239823
0.002435897435897436     -20160.537974091105
0.002467948717948718     -11702.326461203433
0.0025                   1346.3004059109876
0.002532051282051282     14588.808538847466
0.002564102564102564     24054.801331218066
0.002596153846153846     23513.24626680845
0.002628205128205128     19817.006736848
0.00266025641025641      12090.514479179463
0.002692307692307692     -1166.7763127721648
0.0027243589743589742    -14585.121695180233
0.0027564102564102562    -24339.840043731547
0.0027884615384615383    -23840.292570301503
0.0028205128205128207    -19864.024192032713
0.0028525641025641028    -11767.657156557902
0.0028846153846153848    1321.929986725644
0.002916666666666667     14468.605973272575
0.002948717948717949     24211.422102811157
0.002980769230769231     23367.8855945958
0.003012820512820513     20271.294769319527
0.003044871794871795     11689.401338904414
0.003076923076923077     -903.0719209335093
0.003108974358974359     -14496.788522961535
0.003141025641025641     -24624.325728643795
0.003173076923076923     -23335.546087247214
0.003205128205128205     -20103.264697155773
0.003237179487179487     -11532.784019901253
0.003269230769230769     1096.34084463404
0.003301282051282051     14534.071085979689
0.003333333333333333     24332.277037350865
0.0033653846153846156    23080.309014105183
0.0033974358974358976    20598.454511684875
0.0034294871794871796    11531.511287903575
0.0034615384615384616    -975.5180951277221
0.0034935897435897437    -14403.665079468525
0.0035256410256410257    -24724.41784218773
0.0035576923076923077    -23305.232445493348
0.0035897435897435897    -20341.35528281412
0.0036217948717948718    -11252.269012174167
0.003653846153846154     920.2030150029482
0.003685897435897436     14543.217285185172
0.003717948717948718     24385.02668205014
0.00375                  22964.157594171393
0.003782051282051282     20755.790961707487
0.003814102564102564     11280.423706460693
0.0038461538461538464    -750.2504263169837
0.0038782051282051284    -14640.471743224589
0.00391025641025641      -24661.538585471873
0.003942307692307692     -23378.06249827461
0.0039743589743589745    -20458.382471153785
0.004006410256410256     -11017.553066825287
0.0040384615384615385    686.9456739838193
0.00407051282051282      14940.99377679906
0.0041025641025641026    24045.74735772622
0.004134615384615385     23212.432981720405
0.004166666666666667     20829.463250365727
0.004198717948717949     11053.348306835054
0.004230769230769231     -394.64712589758983
0.004262820512820513     -15077.54176148868
0.004294871794871795     -24320.654512031422
0.004326923076923077     -23626.20241040111
0.004358974358974359     -20396.708841291576
0.004391025641025641     -10903.418827909878
0.004423076923076923     323.94639142347893
0.004455128205128205     15450.639662019626
0.004487179487179487     23720.16213879403
0.004519230769230769     23599.053931188504
0.004551282051282051     20590.871010480616
0.004583333333333333     10991.725219417141
0.004615384615384615     -55.29794117346007
0.004647435897435897     -15467.38886874197
0.00467948717948718      -24046.417726029984
0.0047115384615384615    -23875.20000603259
0.004743589743589744     -20291.912344778942
0.0047756410256410255    -11005.788219711632
0.004807692307692308     312.5768657404987
0.0048397435897435895    15518.017653841142
0.004871794871794872     23561.009154347787
0.004903846153846154     23785.45890123543
0.004935897435897436     20378.61332326068
0.004967948717948718     11087.065416725309
0.005                    -105.8408890127995
0.005032051282051282     -15402.610205658699
0.005064102564102564     -23985.93184833477
0.005096153846153846     -23863.924964740334
0.005128205128205128     -20151.94488161649
