% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Aug 11 2017, 23:20
% Table:              Pressure Mic 2 - 
% Time (s)               Pressure (Pa), Point: 14
0                        5.944105616163722E-11
4.2553191489361704E-5    9.908772556929922E-4
8.510638297872341E-5     -0.033182548011983205
1.276595744680851E-4     1.152889371762749
1.7021276595744682E-4    2.6075688764929565
2.1276595744680854E-4    2.565961475517413
2.553191489361702E-4     18.003958425437354
2.978723404255319E-4     -21.917943908458284
3.4042553191489364E-4    176.1944005032502
3.8297872340425535E-4    462.3462603292176
4.2553191489361707E-4    564.0534056802225
4.6808510638297874E-4    450.79501265799047
5.106382978723404E-4     170.5271661215757
5.531914893617022E-4     -178.14326277988886
5.957446808510638E-4     -454.8953236509483
6.382978723404256E-4     -556.3897573342499
6.808510638297873E-4     -442.90893174707463
7.234042553191489E-4     -173.73313370282753
7.659574468085107E-4     173.9576665937267
8.085106382978724E-4     465.550039365776
8.510638297872341E-4     552.8254082787062
8.936170212765958E-4     486.1017020946813
9.361702127659575E-4     386.5711830243339
9.787234042553192E-4     86.74240685634504
0.0010212765957446808    -251.91977517030097
0.0010638297872340426    -439.1065672197545
0.0011063829787234043    -422.34201600903987
0.0011489361702127661    -215.4592034582244
0.0011914893617021277    96.68046393425121
0.0012340425531914894    320.03047519035977
0.0012765957446808512    483.16806222419854
0.0013191489361702128    508.27546344801385
0.0013617021276595745    313.908159727115
0.0014042553191489363    -19.773560915036136
0.0014468085106382979    -318.8681585265873
0.0014893617021276596    -460.0836210146171
0.0015319148936170214    -470.8222953382513
0.001574468085106383     -262.3195047367718
0.0016170212765957447    52.19375967198493
0.0016595744680851065    318.28107636654494
0.0017021276595744683    470.96050444302506
0.0017446808510638298    478.84636454243577
0.0017872340425531916    288.00961015274953
0.0018297872340425534    -39.93200097083174
0.001872340425531915     -317.81406266336427
0.0019148936170212767    -464.95093875536355
0.0019574468085106385    -477.79121355691655
0.002                    -274.0868233110077
0.0020425531914893616    47.6647443803864
0.0020851063829787236    317.47892247143204
0.002127659574468085     470.2606613456552
0.002170212765957447     477.82212684848434
0.0022127659574468087    282.9903164271828
0.0022553191489361702    -41.26784493232134
0.0022978723404255322    -316.5452911143141
0.002340425531914894     -466.4103307202942
0.0023829787234042553    -476.01872891721916
0.0024255319148936173    -274.8655752428804
0.002468085106382979     44.46743834898189
0.0025106382978723404    318.6652962102891
0.0025531914893617024    468.2223090818064
0.002595744680851064     476.79217082135017
0.0026382978723404255    280.8163055182044
0.0026808510638297875    -41.87852348726693
0.002723404255319149     -317.8437924282858
0.0027659574468085106    -466.28273146671387
0.0028085106382978726    -475.24387463137225
0.002851063829787234     -275.60246326681624
0.0028936170212765957    44.79149523773231
0.0029361702127659577    318.7295413266658
0.0029787234042553193    468.6381046174241
0.003021276595744681     476.772469078145
0.003063829787234043     280.50031606265827
0.0031063829787234044    -40.933559703121375
0.003148936170212766     -316.57660951510377
0.003191489361702128     -466.7187705595238
0.0032340425531914895    -477.13701880486605
0.003276595744680851     -276.040767505775
0.003319148936170213     45.82196155550417
0.0033617021276595746    318.9372629396619
0.0034042553191489366    468.7515137800837
0.003446808510638298     476.944141575195
0.0034893617021276597    281.3067755835386
0.0035319148936170217    -40.787658504830006
0.0035744680851063832    -317.9008197354592
0.003617021276595745     -466.854970242398
0.0036595744680851068    -475.71046334493724
0.0037021276595744683    -275.4850131000373
0.00374468085106383      45.067562029085536
0.003787234042553192     319.18477216709704
0.0038297872340425534    468.5212664956007
0.003872340425531915     477.51736738400166
0.003914893617021277     282.1244713165936
0.0039574468085106385    -41.394988200818176
0.004                    -317.7106946759177
0.004042553191489362     -467.02232524105546
0.004085106382978723     -475.83743720335457
0.004127659574468086     -275.567786875883
0.004170212765957447     44.65057495694686
0.004212765957446809     320.09299070972264
0.00425531914893617      467.89728543321365
0.004297872340425532     476.49134420065144
0.004340425531914894     280.94987046505844
0.004382978723404256     -41.69482268005642
0.004425531914893617     -316.5798008527693
0.004468085106382979     -467.1600471846292
0.0045106382978723405    -475.853479916279
0.004553191489361702     -275.557475158724
0.0045957446808510645    44.765679207671916
0.004638297872340426     319.2443721048857
0.004680851063829788     467.9556386507623
0.004723404255319149     477.6410565773911
0.004765957446808511     281.0192037827673
0.004808510638297872     -40.70782576830408
0.004851063829787235     -317.17704917037497
0.004893617021276596     -467.4160390663991
0.004936170212765958     -475.2194503321303
0.004978723404255319     -275.52164915244765
0.005021276595744681     45.364900646790524
0.0050638297872340424    319.2798419684448
0.005106382978723405     467.8120045808359
0.005148936170212766     477.6798699009211
0.005191489361702128     281.42134190968454
0.0052340425531914895    -41.33717183936988
0.005276595744680851     -317.7123109874079
0.005319148936170213     -467.03750502393586
0.005361702127659575     -478.13721888126656
0.005404255319148937     -275.5962274135085
0.005446808510638298     44.52550409992691
0.00548936170212766      320.85893380065517
0.005531914893617021     467.2519318429819
0.005574468085106384     478.1674057738181
0.005617021276595745     281.7005450248437
0.005659574468085107     -40.87043666151311
0.005702127659574468     -316.15180710344515
0.00574468085106383      -467.55676300274956
0.0057872340425531915    -475.66800535926444
0.005829787234042554     -275.1932198087287
0.0058723404255319155    44.949015656462436
0.005914893617021277     319.9691761009124
0.005957446808510639     467.87748299831105
0.006                    477.75305027469994
0.006042553191489362     281.7865798801527
0.006085106382978724     -41.6552838157527
0.006127659574468086     -316.0325663455433
0.006170212765957447     -467.57233327920983
0.006212765957446809     -475.07747181133203
0.00625531914893617      -276.05638246544487
0.006297872340425532     44.93515107743514
0.006340425531914894     319.88931386382023
