% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Aug 14 2017, 13:39
% Table:              Velocity Liner - V Liner (aveop1(w))
% Time (s)               aveop1(w) (m/s)
0                        -3.944257428580418E-69
2.173913043478261E-5     -6.87814612084581E-39
4.347826086956522E-5     8.554761567366494E-34
6.521739130434783E-5     8.215309362195368E-28
8.695652173913044E-5     -1.458180573336409E-22
1.0869565217391305E-4    -1.7783084787096425E-19
1.3043478260869567E-4    9.898829724963863E-18
1.5217391304347827E-4    -4.587148177805423E-16
1.7391304347826088E-4    8.39772043967604E-14
1.956521739130435E-4     -3.431171190990521E-12
2.173913043478261E-4     -1.2944350872608228E-11
2.391304347826087E-4     9.351977059621017E-10
2.6086956521739134E-4    9.159576974394798E-9
2.8260869565217394E-4    1.5334942209555054E-8
3.0434782608695655E-4    -2.263664081783062E-7
3.2608695652173916E-4    -1.9155050173057166E-6
3.4782608695652176E-4    -7.392698173888242E-6
3.6956521739130437E-4    -1.700854151102079E-5
3.91304347826087E-4      -1.4661540832426833E-5
4.130434782608696E-4     3.35206409897252E-5
4.347826086956522E-4     7.248165827985672E-5
4.565217391304348E-4     -5.064751391237407E-5
4.782608695652174E-4     -4.444152648388747E-5
5.0E-4                   1.0347707916608153E-4
5.217391304347827E-4     -1.4460980768270977E-4
5.434782608695652E-4     1.7358271387822051E-4
5.652173913043479E-4     -2.2225039774337852E-4
5.869565217391304E-4     -1.517244798969964E-5
6.086956521739131E-4     1.167929240594284E-4
6.304347826086957E-4     -0.009890564128527346
6.521739130434783E-4     -0.027060969648231587
6.739130434782609E-4     -0.041924863708087415
6.956521739130435E-4     -0.04538524875879637
7.173913043478262E-4     -0.035027094867701676
7.391304347826087E-4     -0.012244225887246177
7.608695652173914E-4     0.01839402409928255
7.82608695652174E-4      0.04708196979290722
8.043478260869566E-4     0.0630810987938294
8.260869565217392E-4     0.05957427698433088
8.478260869565218E-4     0.037966982337121306
8.695652173913044E-4     0.008557186779280083
8.91304347826087E-4      -0.018240821092815183
9.130434782608696E-4     -0.03366950579467427
9.347826086956523E-4     -0.03379926094425651
9.565217391304348E-4     -0.019175411517313317
9.782608695652175E-4     0.005490388478966124
0.001                    0.0299049824288358
0.0010217391304347826    0.04290100401531815
0.0010434782608695653    0.03807243024373303
0.001065217391304348     0.017178090780512186
0.0010869565217391304    -0.010369691713497943
0.0011086956521739132    -0.034731282046633505
0.0011304347826086958    -0.04770712319528121
0.0011521739130434783    -0.044971644617188
0.0011739130434782609    -0.026909900338443083
0.0011956521739130436    0.001228434338074086
0.0012173913043478262    0.02836572216724694
0.0012391304347826087    0.04336905286355511
0.0012608695652173913    0.04035161124232993
0.001282608695652174     0.021337173112118128
0.0013043478260869566    -0.004840496972731757
0.0013260869565217392    -0.02864283508476722
0.0013478260869565217    -0.04214866647487945
0.0013695652173913045    -0.03986191087191535
0.001391304347826087     -0.022194777478249883
0.0014130434782608696    0.0054840234836210765
0.0014347826086956524    0.03166829115729626
0.001456521739130435     0.045527233776393776
0.0014782608695652175    0.041773248209705766
0.0015                   0.022303082819695542
0.0015217391304347828    -0.004267787930525547
0.0015434782608695654    -0.028865920475422198
0.001565217391304348     -0.04323749263480551
0.0015869565217391305    -0.04143177939032589
0.0016086956521739132    -0.02352956515581623
0.0016304347826086958    0.004131907815883513
0.0016521739130434783    0.03030835319457175
0.0016739130434782609    0.043951281694048806
0.0016956521739130437    0.04045505187226645
0.0017173913043478262    0.02160377910572979
0.0017391304347826088    -0.004675996567918453
0.0017608695652173915    -0.029227917147163482
0.001782608695652174     -0.043704178869307796
0.0018043478260869566    -0.041683588171937465
0.0018260869565217392    -0.023415880169678546
0.001847826086956522     0.004505903053336482
0.0018695652173913045    0.030396174751639204
0.001891304347826087     0.04396603374216876
0.0019130434782608696    0.040751193322654575
0.0019347826086956524    0.02226060452947799
0.001956521739130435     -0.004134669002460128
0.0019782608695652175    -0.02906719490921061
0.002                    -0.0437323164140165
0.0020217391304347826    -0.041594449397640135
0.002043478260869565     -0.02304514536867834
0.002065217391304348     0.004616717506681217
0.0020869565217391307    0.03031496747182443
0.0021086956521739132    0.0437369360126002
0.002130434782608696     0.040683217832118965
0.0021521739130434783    0.022414425534057106
0.002173913043478261     -0.003987765219960148
0.0021956521739130434    -0.02913620123203712
0.0022173913043478264    -0.043874013860842505
0.002239130434782609     -0.04176870454961497
0.0022608695652173915    -0.02292657328949312
0.002282608695652174     0.004574748527236222
0.0023043478260869566    0.030115685362863617
0.002326086956521739     0.04354800553741806
0.0023478260869565218    0.040698770939986154
0.0023695652173913043    0.022667059287266814
0.0023913043478260873    -0.0038451537248677652
0.00241304347826087      -0.02916433005098133
0.0024347826086956524    -0.04389839953201124
0.002456521739130435     -0.04168838921189576
0.0024782608695652175    -0.022841480652356316
0.0025                   0.004453140348189568
0.0025217391304347826    0.029802939226065046
0.0025434782608695656    0.04347616014220927
0.002565217391304348     0.040782610879004325
0.0025869565217391307    0.023006768171178835
0.0026086956521739132    -0.003705437518969814
0.002630434782608696     -0.0292598253612502
0.0026521739130434784    -0.04392666131840927
0.002673913043478261     -0.041779354203638416
0.0026956521739130435    -0.022803816131145873
0.0027173913043478264    0.004442659812316613
0.002739130434782609     0.029710621258327366
0.0027608695652173916    0.043419821918482024
0.002782608695652174     0.04095461123264506
0.0028043478260869567    0.023142035743423828
0.002826086956521739     -0.0036305322242671865
0.0028478260869565218    -0.029261074454725106
0.0028695652173913047    -0.04390486507603081
0.0028913043478260873    -0.04163391070500554
0.00291304347826087      -0.02272350221883604
